Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
Running on  nodes
---------------------------------------------
SLURM job ID:        11939722
SLURM job node list: lrdn2633
DATE:                Wed Jan 29 12:43:23 CET 2025
---------------------------------------------
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
01/29/2025 12:43:57 - INFO - __main__ - ***** Running training *****
01/29/2025 12:43:57 - INFO - __main__ -   Num examples = 78773
01/29/2025 12:43:57 - INFO - __main__ -   Num Epochs = 50
01/29/2025 12:43:57 - INFO - __main__ -   Instantaneous batch size per device = 16
01/29/2025 12:43:57 - INFO - __main__ -   Total train batch size (w. parallel, distributed & accumulation) = 16
01/29/2025 12:43:57 - INFO - __main__ -   Gradient Accumulation steps = 1
01/29/2025 12:43:57 - INFO - __main__ -   Total optimization steps = 1000

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 1/1000 [00:33<9:18:21, 33.54s/it]
  0%|          | 2/1000 [00:48<6:17:32, 22.70s/it]
  0%|          | 3/1000 [01:03<5:19:32, 19.23s/it]
  0%|          | 4/1000 [01:18<4:52:00, 17.59s/it]
  0%|          | 5/1000 [01:33<4:36:42, 16.69s/it]
  1%|          | 6/1000 [01:48<4:27:26, 16.14s/it]
  1%|          | 7/1000 [02:04<4:21:33, 15.80s/it]
 35%|███▌      | 350/1000 [1:28:22<2:43:32, 15.10s/it]
 35%|███▌      | 351/1000 [1:28:37<2:43:19, 15.10s/it]
 35%|███▌      | 352/1000 [1:28:52<2:43:07, 15.10s/it]
 35%|███▌      | 353/1000 [1:29:07<2:42:55, 15.11s/it]
 35%|███▌      | 354/1000 [1:29:22<2:42:41, 15.11s/it]
 36%|███▌      | 355/1000 [1:29:38<2:42:28, 15.11s/it]
 36%|███▌      | 356/1000 [1:29:53<2:42:17, 15.12s/it]
 36%|███▌      | 357/1000 [1:30:08<2:41:53, 15.11s/it]
 36%|███▌      | 358/1000 [1:30:23<2:41:37, 15.11s/it]
 36%|███▌      | 359/1000 [1:30:38<2:41:21, 15.10s/it]
 36%|███▌      | 360/1000 [1:30:53<2:41:07, 15.11s/it]
 36%|███▌      | 361/1000 [1:31:08<2:40:50, 15.10s/it]
 36%|███▌      | 362/1000 [1:31:23<2:40:42, 15.11s/it]
 36%|███▋      | 363/1000 [1:31:38<2:40:22, 15.11s/it]
 36%|███▋      | 364/1000 [1:31:53<2:40:06, 15.10s/it]
 36%|███▋      | 365/1000 [1:32:09<2:39:48, 15.10s/it]
 37%|███▋      | 366/1000 [1:32:24<2:39:31, 15.10s/it]
 37%|███▋      | 367/1000 [1:32:39<2:39:14, 15.09s/it]
 37%|███▋      | 368/1000 [1:32:54<2:38:57, 15.09s/it]
 37%|███▋      | 369/1000 [1:33:09<2:38:45, 15.10s/it]
 37%|███▋      | 370/1000 [1:33:24<2:38:33, 15.10s/it]
 37%|███▋      | 371/1000 [1:33:39<2:38:19, 15.10s/it]
 37%|███▋      | 372/1000 [1:33:54<2:38:05, 15.10s/it]
 37%|███▋      | 373/1000 [1:34:09<2:37:48, 15.10s/it]
 37%|███▋      | 374/1000 [1:34:24<2:37:36, 15.11s/it]
 38%|███▊      | 375/1000 [1:34:40<2:37:18, 15.10s/it]
 38%|███▊      | 376/1000 [1:34:55<2:37:04, 15.10s/it]
 38%|███▊      | 377/1000 [1:35:10<2:36:48, 15.10s/it]
 38%|███▊      | 378/1000 [1:35:25<2:36:34, 15.10s/it]
 38%|███▊      | 379/1000 [1:35:40<2:36:17, 15.10s/it]
 38%|███▊      | 380/1000 [1:35:55<2:36:02, 15.10s/it]
 38%|███▊      | 381/1000 [1:36:10<2:35:47, 15.10s/it]
 38%|███▊      | 382/1000 [1:36:25<2:35:33, 15.10s/it]
 38%|███▊      | 383/1000 [1:36:40<2:35:20, 15.11s/it]
 38%|███▊      | 384/1000 [1:36:56<2:35:08, 15.11s/it]
 38%|███▊      | 385/1000 [1:37:11<2:34:51, 15.11s/it]
 39%|███▊      | 386/1000 [1:37:26<2:34:36, 15.11s/it]
 39%|███▊      | 387/1000 [1:37:41<2:34:20, 15.11s/it]
 39%|███▉      | 388/1000 [1:37:56<2:34:00, 15.10s/it]
 39%|███▉      | 389/1000 [1:38:11<2:33:44, 15.10s/it]
 39%|███▉      | 390/1000 [1:38:26<2:33:28, 15.10s/it]
 39%|███▉      | 391/1000 [1:38:41<2:33:13, 15.10s/it]
 39%|███▉      | 392/1000 [1:38:56<2:32:58, 15.10s/it]
 39%|███▉      | 393/1000 [1:39:11<2:32:43, 15.10s/it]
 39%|███▉      | 394/1000 [1:39:26<2:32:27, 15.09s/it]
 40%|███▉      | 395/1000 [1:39:42<2:32:13, 15.10s/it]
 40%|███▉      | 396/1000 [1:39:57<2:31:57, 15.10s/it]
 40%|███▉      | 397/1000 [1:40:12<2:31:48, 15.10s/it]
 40%|███▉      | 398/1000 [1:40:27<2:31:34, 15.11s/it]
 40%|███▉      | 399/1000 [1:40:42<2:31:20, 15.11s/it]
 40%|████      | 400/1000 [1:40:57<2:31:03, 15.11s/it]
 40%|████      | 401/1000 [1:41:12<2:30:51, 15.11s/it]
 40%|████      | 402/1000 [1:41:27<2:30:37, 15.11s/it]
 40%|████      | 403/1000 [1:41:42<2:30:17, 15.10s/it]
 40%|████      | 404/1000 [1:41:58<2:29:59, 15.10s/it]
 40%|████      | 405/1000 [1:42:13<2:29:44, 15.10s/it]
 41%|████      | 406/1000 [1:42:28<2:29:29, 15.10s/it]
 41%|████      | 407/1000 [1:42:43<2:29:15, 15.10s/it]
 41%|████      | 408/1000 [1:42:58<2:28:57, 15.10s/it]
 41%|████      | 409/1000 [1:43:13<2:28:42, 15.10s/it]
 41%|████      | 410/1000 [1:43:28<2:28:31, 15.10s/it]
 41%|████      | 411/1000 [1:43:43<2:28:17, 15.11s/it]
 41%|████      | 412/1000 [1:43:58<2:28:05, 15.11s/it]
 41%|████▏     | 413/1000 [1:44:14<2:27:49, 15.11s/it]
 41%|████▏     | 414/1000 [1:44:29<2:27:33, 15.11s/it]
 42%|████▏     | 415/1000 [1:44:44<2:27:18, 15.11s/it]
 42%|████▏     | 416/1000 [1:44:59<2:27:00, 15.10s/it]
 42%|████▏     | 417/1000 [1:45:14<2:26:43, 15.10s/it]
 42%|████▏     | 418/1000 [1:45:29<2:26:27, 15.10s/it]
 42%|████▏     | 419/1000 [1:45:44<2:26:12, 15.10s/it]
 42%|████▏     | 420/1000 [1:45:59<2:25:58, 15.10s/it]
 42%|████▏     | 421/1000 [1:46:14<2:25:50, 15.11s/it]
 42%|████▏     | 422/1000 [1:46:30<2:27:02, 15.26s/it]
 42%|████▏     | 423/1000 [1:46:45<2:26:19, 15.22s/it]
 42%|████▏     | 424/1000 [1:47:00<2:25:47, 15.19s/it]
 42%|████▎     | 425/1000 [1:47:15<2:25:18, 15.16s/it]
 43%|████▎     | 426/1000 [1:47:30<2:24:53, 15.14s/it]
 43%|████▎     | 427/1000 [1:47:45<2:24:30, 15.13s/it]
 43%|████▎     | 428/1000 [1:48:01<2:24:12, 15.13s/it]
 43%|████▎     | 429/1000 [1:48:16<2:23:51, 15.12s/it]
 43%|████▎     | 430/1000 [1:48:31<2:23:49, 15.14s/it]
 43%|████▎     | 431/1000 [1:48:46<2:23:27, 15.13s/it]
 43%|████▎     | 432/1000 [1:49:01<2:23:07, 15.12s/it]
 43%|████▎     | 433/1000 [1:49:16<2:22:49, 15.11s/it]
 43%|████▎     | 434/1000 [1:49:31<2:22:33, 15.11s/it]
 44%|████▎     | 435/1000 [1:49:46<2:22:17, 15.11s/it]
 44%|████▎     | 436/1000 [1:50:02<2:22:02, 15.11s/it]
 44%|████▎     | 437/1000 [1:50:17<2:21:44, 15.11s/it]
 44%|████▍     | 438/1000 [1:50:32<2:21:26, 15.10s/it]
 44%|████▍     | 439/1000 [1:50:47<2:21:13, 15.11s/it]
 44%|████▍     | 440/1000 [1:51:02<2:21:01, 15.11s/it]
 44%|████▍     | 441/1000 [1:51:17<2:20:44, 15.11s/it]
 44%|████▍     | 442/1000 [1:51:32<2:20:28, 15.11s/it]
 44%|████▍     | 443/1000 [1:51:47<2:20:10, 15.10s/it]
 44%|████▍     | 444/1000 [1:52:02<2:19:52, 15.09s/it]
 44%|████▍     | 445/1000 [1:52:17<2:19:40, 15.10s/it]
 45%|████▍     | 446/1000 [1:52:33<2:19:24, 15.10s/it]
 45%|████▍     | 447/1000 [1:52:48<2:19:12, 15.10s/it]
 45%|████▍     | 448/1000 [1:53:03<2:18:57, 15.10s/it]
 45%|████▍     | 449/1000 [1:53:18<2:18:42, 15.10s/it]
 45%|████▌     | 450/1000 [1:53:33<2:18:27, 15.10s/it]
 45%|████▌     | 451/1000 [1:53:48<2:18:13, 15.11s/it]
 45%|████▌     | 452/1000 [1:54:03<2:17:57, 15.11s/it]
 45%|████▌     | 453/1000 [1:54:18<2:17:39, 15.10s/it]
 45%|████▌     | 454/1000 [1:54:33<2:17:22, 15.10s/it]
 46%|████▌     | 455/1000 [1:54:48<2:17:08, 15.10s/it]
 46%|████▌     | 456/1000 [1:55:04<2:16:54, 15.10s/it]
 46%|████▌     | 457/1000 [1:55:19<2:16:42, 15.11s/it]
 46%|████▌     | 458/1000 [1:55:34<2:16:29, 15.11s/it]
 46%|████▌     | 459/1000 [1:55:49<2:16:14, 15.11s/it]
 46%|████▌     | 460/1000 [1:56:04<2:15:56, 15.10s/it]
 46%|████▌     | 461/1000 [1:56:19<2:15:40, 15.10s/it]
 46%|████▌     | 462/1000 [1:56:34<2:15:26, 15.10s/it]
 46%|████▋     | 463/1000 [1:56:49<2:15:07, 15.10s/it]
 46%|████▋     | 464/1000 [1:57:04<2:14:52, 15.10s/it]
 46%|████▋     | 465/1000 [1:57:19<2:14:36, 15.10s/it]
 47%|████▋     | 466/1000 [1:57:35<2:14:22, 15.10s/it]
 47%|████▋     | 467/1000 [1:57:50<2:14:07, 15.10s/it]
 47%|████▋     | 468/1000 [1:58:05<2:13:51, 15.10s/it]
 47%|████▋     | 469/1000 [1:58:20<2:13:39, 15.10s/it]
 47%|████▋     | 470/1000 [1:58:35<2:13:25, 15.11s/it]
 47%|████▋     | 471/1000 [1:58:50<2:13:08, 15.10s/it]
 47%|████▋     | 472/1000 [1:59:05<2:12:53, 15.10s/it]
 47%|████▋     | 473/1000 [1:59:20<2:12:37, 15.10s/it]
 47%|████▋     | 474/1000 [1:59:35<2:12:21, 15.10s/it]
 48%|████▊     | 475/1000 [1:59:50<2:12:06, 15.10s/it]
 48%|████▊     | 476/1000 [2:00:06<2:11:51, 15.10s/it]
 48%|████▊     | 477/1000 [2:00:21<2:11:35, 15.10s/it]
 48%|████▊     | 478/1000 [2:00:36<2:11:20, 15.10s/it]
 48%|████▊     | 479/1000 [2:00:51<2:11:05, 15.10s/it]
 48%|████▊     | 480/1000 [2:01:06<2:10:51, 15.10s/it]
 48%|████▊     | 481/1000 [2:01:21<2:10:37, 15.10s/it]
 48%|████▊     | 482/1000 [2:01:36<2:10:23, 15.10s/it]
 48%|████▊     | 483/1000 [2:01:51<2:10:09, 15.11s/it]
 48%|████▊     | 484/1000 [2:02:06<2:09:56, 15.11s/it]
 48%|████▊     | 485/1000 [2:02:21<2:09:38, 15.10s/it]
 49%|████▊     | 486/1000 [2:02:37<2:09:20, 15.10s/it]
 49%|████▊     | 487/1000 [2:02:52<2:09:02, 15.09s/it]
 49%|████▉     | 488/1000 [2:03:07<2:08:44, 15.09s/it]
 49%|████▉     | 489/1000 [2:03:22<2:08:31, 15.09s/it]
 49%|████▉     | 490/1000 [2:03:37<2:08:18, 15.09s/it]
 49%|████▉     | 491/1000 [2:03:52<2:08:02, 15.09s/it]
 49%|████▉     | 492/1000 [2:04:07<2:07:48, 15.10s/it]
 49%|████▉     | 493/1000 [2:04:22<2:07:35, 15.10s/it]
 49%|████▉     | 494/1000 [2:04:37<2:07:23, 15.11s/it]
 50%|████▉     | 495/1000 [2:04:52<2:07:07, 15.10s/it]
 50%|████▉     | 496/1000 [2:05:08<2:06:55, 15.11s/it]
 50%|████▉     | 497/1000 [2:05:23<2:06:42, 15.11s/it]
 50%|████▉     | 498/1000 [2:05:38<2:06:28, 15.12s/it]
 50%|████▉     | 499/1000 [2:05:53<2:06:11, 15.11s/it]
 50%|█████     | 500/1000 [2:06:08<2:05:57, 15.11s/it]
 50%|█████     | 501/1000 [2:06:23<2:05:39, 15.11s/it]
 50%|█████     | 502/1000 [2:06:38<2:05:21, 15.10s/it]
 50%|█████     | 503/1000 [2:06:53<2:05:06, 15.10s/it]
 50%|█████     | 504/1000 [2:07:08<2:04:51, 15.10s/it]
 50%|█████     | 505/1000 [2:07:24<2:04:32, 15.10s/it]
 51%|█████     | 506/1000 [2:07:39<2:04:18, 15.10s/it]
 51%|█████     | 507/1000 [2:07:54<2:04:03, 15.10s/it]
 51%|█████     | 508/1000 [2:08:09<2:03:47, 15.10s/it]
 51%|█████     | 509/1000 [2:08:24<2:03:31, 15.10s/it]
 51%|█████     | 510/1000 [2:08:39<2:03:16, 15.09s/it]
 51%|█████     | 511/1000 [2:08:54<2:03:00, 15.09s/it]
 51%|█████     | 512/1000 [2:09:09<2:02:47, 15.10s/it]
 51%|█████▏    | 513/1000 [2:09:24<2:02:31, 15.10s/it]
 51%|█████▏    | 514/
