0,gold formula
x_[[[[[[[[[[x_x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                 x_[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                      x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                       x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"always[31,36] ( not ( always[13,23] ( not ( not ( ( not ( x_0 >= -0.1755 ) or not ( x_2 <= 2.2076 ) ) ) ) ) ) )"
x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"( not ( always[27,35] ( ( always[9,15] ( ( ( x_2 <= -1.8829 and x_2 >= -0.8152 ) and ( x_2 <= 0.6198 until[18,32] x_2 <= -0.9523 ) ) ) and eventually[3,35] ( ( ( x_1 <= 0.4861 or x_1 <= -1.0 ) or ( x_1 >= 0.8292 or x_0 >= -1.2751 ) ) ) ) ) ) and ( eventually[33,35] ( ( ( not ( ( x_1 >= -0.2231 and x_0 <= -0.6166 ) ) or ( not ( x_1 >= 0.5551 ) or always[13,inf] ( x_1 >= 0.0684 ) ) ) or not ( always[7,28] ( ( x_0 <= -0.6617 and x_0 <= 1.3542 ) ) ) ) ) or always[15,33] ( not ( always[15,inf] ( ( ( x_0 <= 0.0804 until[20,25] x_2 <= 1.4216 ) and eventually[30,36] ( x_2 <= 0.5137 ) ) ) ) ) ) )"
x_[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"always[27,34] ( always[15,18] ( ( eventually ( ( ( ( x_2 <= 0.6787 until[33,35] x_2 >= -1.643 ) and always[24,30] ( x_2 <= 0.0766 ) ) or ( always[12,inf] ( x_1 <= -0.7287 ) and ( x_0 >= 0.0483 or x_0 >= -2.1531 ) ) ) ) or always ( ( not ( ( x_2 <= 0.3088 and x_2 >= 0.0016 ) ) or not ( always[24,32] ( x_1 <= -0.1463 ) ) ) ) ) ) )"
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"always[7,inf] ( not ( eventually ( ( eventually[23,27] ( eventually[12,26] ( eventually[3,9] ( x_1 <= -0.684 ) ) ) or ( eventually[16,21] ( ( x_2 >= -0.4198 or x_1 <= 1.0768 ) ) until[34,36] eventually[34,inf] ( not ( x_1 <= 0.8167 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[17,19] ( ( not ( ( ( not ( always[21,36] ( x_0 <= -0.9672 ) ) or always[12,21] ( eventually[6,25] ( x_2 <= -1.5693 ) ) ) and ( not ( ( x_1 <= 0.8408 until[33,36] x_2 >= -0.243 ) ) or ( ( x_2 >= 0.9146 or x_2 <= -0.1646 ) and not ( x_2 >= 0.9415 ) ) ) ) ) until[23,30] not ( not ( not ( ( ( x_2 <= 0.8332 or x_1 >= 0.4775 ) until[6,inf] ( x_2 >= -0.0291 or x_2 >= -1.6075 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( not ( not ( eventually[15,22] ( ( eventually ( always[11,27] ( x_1 <= 0.2497 ) ) or ( eventually[27,32] ( x_1 >= 0.5284 ) or ( x_1 >= 0.2201 or x_0 >= 0.7975 ) ) ) ) ) ) until[0,inf] not ( ( not ( not ( not ( ( x_2 >= 0.0892 and x_1 >= 0.0728 ) ) ) ) until[16,22] ( not ( eventually[7,9] ( not ( x_0 <= 1.2107 ) ) ) or not ( ( eventually[8,17] ( x_2 <= 0.2416 ) and ( x_0 >= 1.7584 and x_0 >= 0.4583 ) ) ) ) ) ) )"
x_[[[[[[[[[[[x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                               x_[[[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                     x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                      x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_                    x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_                   x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_                 x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"always[12,26] ( not ( ( not ( eventually[0,30] ( eventually[28,34] ( always[1,inf] ( x_0 >= -0.1009 ) ) ) ) and not ( not ( not ( ( x_2 <= -0.6136 and x_0 <= 0.4084 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually[33,36] ( not ( ( not ( not ( ( not ( x_2 <= -0.7917 ) or ( x_1 >= 0.0831 and x_2 <= 0.1246 ) ) ) ) or not ( ( eventually[34,36] ( always[7,27] ( x_0 <= 0.2134 ) ) or ( always[24,inf] ( x_1 <= 0.665 ) and eventually ( x_0 >= 1.2997 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually ( ( not ( not ( ( not ( not ( x_1 <= 0.4224 ) ) and eventually[19,23] ( ( x_0 >= 0.0046 and x_1 <= 0.5707 ) ) ) ) ) until[5,35] eventually ( always[22,30] ( always ( eventually ( not ( x_1 <= -0.0714 ) ) ) ) ) ) )"
not ( x_2 x_0.111 ),"always ( ( eventually ( not ( always ( ( eventually[6,inf] ( x_2 <= 0.1199 ) and ( x_0 <= 0.1719 or x_0 >= 2.1614 ) ) ) ) ) until[21,inf] always[0,inf] ( eventually[6,9] ( eventually[22,inf] ( eventually[33,36] ( ( x_0 <= 0.4029 or x_2 <= 1.0482 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( eventually ( ( always[14,inf] ( eventually[33,36] ( not ( not ( x_0 >= -0.5939 ) ) ) ) or ( always[3,inf] ( ( ( x_0 <= 0.7331 until[10,25] x_0 >= 0.1032 ) and eventually[2,inf] ( x_1 <= -0.2294 ) ) ) and ( ( ( x_0 <= 1.2644 until x_0 >= 3.0391 ) until[12,25] ( x_0 >= -0.2556 or x_1 <= 0.762 ) ) or always[26,28] ( always[16,29] ( x_1 >= 0.6533 ) ) ) ) ) ) )"
x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_           x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                                   x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                                           x_x_x_x_x_x_x_x_x_x_x_x_                                          x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_                      x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_                    x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_              x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"( always[33,inf] ( always[30,32] ( always[16,27] ( not ( ( not ( x_0 >= -0.596 ) and ( x_0 <= -1.6392 or x_1 <= 0.202 ) ) ) ) ) ) or not ( not ( always[32,36] ( not ( always[3,17] ( ( x_1 <= -0.3245 until[28,36] x_1 <= -1.604 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( always[20,inf] ( eventually ( always[4,22] ( always[4,6] ( not ( ( x_0 >= -0.839 or x_0 <= -0.7391 ) ) ) ) ) ) until[9,17] not ( not ( ( ( eventually[2,5] ( ( x_0 <= 1.0926 or x_1 <= -1.2296 ) ) or ( not ( x_1 >= -1.5647 ) and not ( x_1 >= 0.1327 ) ) ) until[16,29] ( not ( ( x_2 >= 0.3916 and x_2 <= 2.3438 ) ) or not ( always[1,5] ( x_1 >= -2.1938 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually[27,30] ( always[27,30] ( not ( not ( ( eventually[18,33] ( ( x_2 <= 2.3716 and x_2 >= 0.0503 ) ) or always[11,inf] ( ( x_1 >= 0.3068 until[23,27] x_0 >= 2.634 ) ) ) ) ) ) )"
x_[[[[[[[[1 1 1 1 1 1 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 x_11111111111111111 x_1111111 x_11111 x_111 x_11111 x_1111111 x_111 x_1 x_1 x_11111 x_1111 x_1111 x_1 x_111 x_1 x_11 x_1 x_11 x_1 x_1 x_11 x_1 x_1 x_11 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1,"always[2,25] ( always[7,inf] ( not ( ( not ( always[9,23] ( ( x_1 <= 0.815 until[19,32] x_1 <= -0.0661 ) ) ) and ( always[17,20] ( ( x_1 <= -0.0074 and x_0 >= 1.056 ) ) or not ( ( x_0 >= 0.2811 or x_0 <= 1.0457 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always ( ( ( eventually[3,23] ( not ( ( ( x_1 <= -0.3332 or x_0 <= 0.2537 ) and ( x_0 >= -0.3623 or x_0 <= 0.0182 ) ) ) ) until[8,inf] eventually ( not ( ( ( x_2 <= 1.0158 or x_1 <= 0.4559 ) and always[31,35] ( x_0 <= 0.7589 ) ) ) ) ) or ( ( eventually[4,30] ( always[18,35] ( ( x_2 >= -1.0617 until[11,18] x_0 >= -1.304 ) ) ) and not ( ( ( x_2 <= -0.7422 or x_0 >= 1.4314 ) and always[19,inf] ( x_2 <= -0.707 ) ) ) ) and ( not ( ( ( x_1 >= 0.0592 and x_2 <= 1.4973 ) or ( x_0 <= 1.5826 until x_1 <= -0.576 ) ) ) or ( always ( eventually[10,27] ( x_2 <= -1.2308 ) ) until[13,34] not ( eventually[20,33] ( x_1 >= 0.8993 ) ) ) ) ) ) )"
  [1 x_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  1 1 1 1 1 1 1  1 1  1 1 1  1 1 1  1 1  1 1 1 1  1 1 1 1  1 1 1  1  1 1 1  1 1 1 1  1 1  1  1 1  1  1 1    1 1 1  1   1 1   1 1  1   1  1   1      1 1     1  1           1 1                                                                                                                                            ,"eventually[0,14] ( not ( ( not ( ( not ( ( x_0 >= -0.2496 and x_1 >= 1.1928 ) ) or ( ( x_1 <= 0.896 and x_0 <= -0.5564 ) and not ( x_0 >= 0.7587 ) ) ) ) until[24,inf] ( ( not ( eventually[15,21] ( x_0 <= 0.5472 ) ) or always[20,inf] ( always[13,34] ( x_0 <= -0.0155 ) ) ) and ( always[9,26] ( ( x_2 >= 0.155 or x_1 >= -0.485 ) ) and always[6,26] ( ( x_2 >= 0.6875 or x_0 <= 0.7017 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always ( ( ( ( eventually[14,inf] ( not ( ( x_2 >= -0.6135 and x_0 >= -0.0182 ) ) ) or not ( not ( ( x_2 >= 1.1861 or x_0 <= -0.1756 ) ) ) ) until[14,18] ( not ( eventually[6,11] ( ( x_2 <= -0.2344 and x_2 <= 0.8077 ) ) ) and ( not ( ( x_0 >= -1.1859 and x_2 <= 0.1046 ) ) and ( always[6,19] ( x_2 <= -0.3709 ) and not ( x_2 <= -0.5531 ) ) ) ) ) and eventually[5,inf] ( always[10,14] ( not ( not ( not ( x_0 <= -1.8326 ) ) ) ) ) ) )"
x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_     x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                             x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                  x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_                     x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_ x_ x_ x_ x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"( eventually ( always[16,inf] ( ( not ( ( ( x_0 >= 0.4413 or x_1 >= -0.6866 ) until[1,22] not ( x_0 >= 0.5416 ) ) ) or not ( ( always ( x_0 <= 1.2402 ) and always ( x_2 <= -1.6556 ) ) ) ) ) ) until ( always[9,22] ( not ( not ( eventually[7,14] ( eventually ( x_1 <= -1.8924 ) ) ) ) ) or not ( not ( ( always[14,inf] ( eventually[9,14] ( x_0 <= -1.3943 ) ) or ( not ( x_1 <= -0.3573 ) or eventually[1,7] ( x_0 >= -0.3767 ) ) ) ) ) ) )"
not 2 x_2 x_1 1 1 x_1 1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_[1 x_1 x_[[[[[[[[[[[[[[[[[[[[[[[               x_ x_ x_ x_ x_[[[[[[[[[[[[[ x_ x_ x_ x_ x_ x_ x_1 x_x_x_1 x_x_x_1 x_x_1 x_x_1 x_x_x_1 x_x_1 x_x_1 x_1 x_x_1 x_x_1 x_1 x_1 x_1 x_x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1             x_1 x_1 x_1 x_1 x_1 x_1 x_1                x_1 x_1                    x_[[1 x_1 x_1 x_1 x_1 x_ x_x_1 x_1 x_ x_1  x_ x_ x_1            x_ x_                                                                                                                                          ,"always ( eventually[25,inf] ( ( ( always[3,20] ( ( not ( x_1 >= 0.2778 ) or not ( x_0 <= 0.7781 ) ) ) or not ( ( ( x_1 <= 0.8744 and x_2 >= -0.2312 ) until[28,36] ( x_1 >= -1.3356 or x_2 <= 0.057 ) ) ) ) and ( eventually ( ( ( x_1 <= -0.7499 and x_0 >= -1.2418 ) or eventually[14,20] ( x_1 <= -0.6497 ) ) ) or ( always ( ( x_2 <= -0.7142 or x_1 >= 0.6867 ) ) until[22,35] ( not ( x_2 >= -1.6131 ) or eventually[13,29] ( x_2 <= 0.4123 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"not ( always[15,33] ( ( always[31,34] ( ( ( not ( x_0 >= 0.2171 ) and eventually ( x_1 >= 0.6545 ) ) or ( eventually ( x_1 <= 0.947 ) and always ( x_2 <= 0.4234 ) ) ) ) until not ( ( ( ( x_0 <= -0.1705 until[15,32] x_2 >= 1.5476 ) or ( x_0 >= -0.8586 until x_2 <= -1.9402 ) ) and ( not ( x_1 <= 0.7576 ) until[7,16] ( x_1 >= -0.2542 and x_2 >= 0.8274 ) ) ) ) ) ) )"
x_[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_1 x_1 x_1 x_x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_1 x_1 x_x_x_x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"not ( eventually[1,inf] ( ( eventually[9,26] ( always[24,inf] ( ( ( x_1 <= 0.2389 and x_1 <= -1.0326 ) and ( x_1 <= 0.3071 and x_1 <= 1.5809 ) ) ) ) until[17,20] ( ( not ( ( x_0 >= -0.6737 and x_0 <= -1.9274 ) ) or ( not ( x_1 >= 0.2118 ) or not ( x_1 >= 1.6067 ) ) ) and ( not ( ( x_2 >= -0.7797 until[14,31] x_1 >= -0.0096 ) ) and ( not ( x_0 <= 0.7717 ) until[7,24] ( x_2 >= -1.8557 and x_0 >= 1.9938 ) ) ) ) ) ) )"
