,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
96,( ( ( x_2 <= 0.533 or x_2 <= -0.333 ) and ( x_2 <= -0.533 or x_2 <= -0.533 ) ) or ( ( x_2 <= 0.533 and x_2 <= -0.633 ) and ( x_2 <= -0.533 and x_2 <= -0.636 ) ) ),( ( ( x_2 <= -0.1055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ),( ( ( x_2 <= -0.5391 or x_2 <= -0.5397 ) or ( x_2 <= -0.5397 and x_2 <= -0.5397 ) ) or ( ( x_0 <= -0.5997 or x_2 <= -0.5397 ) or ( x_0 <= -0.5997 and x_2 <= -0.0397 ) ) ),( x_2 <= 0.5223 and x_2 <= 0.5225 ),( x_0 >= -2.3864 and x_2 <= 0.5406 )
97,not ( not ( not ( x_2 <= -0.528 ) ) ),"( ( ( x_2 <= -0.5155 or x_2 <= -0.5005 ) or ( x_2 <= -0.5005 and x_2 <= -0.5005 ) ) until[1,10] ( ( x_2 <= -0.5005 or x_2 <= -0.5005 ) or ( x_2 <= -0.2005 or x_2 <= -0.2005 ) ) )",not ( ( ( x_2 >= -0.5391 or x_2 >= -0.5997 ) or ( x_2 >= -0.5997 or x_2 >= -0.5997 ) ) ),"eventually[1,13] ( x_2 <= -0.4222 )","always[7,11] ( x_2 <= -0.5039 )"
98,"( ( ( x_2 >= 0.3332 or x_2 >= 0.2332 ) or ( x_2 >= -0.3332 until[26,33] x_2 >= 0.3332 ) ) until[13,23] ( ( x_2 >= -0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.0332 or x_2 >= -0.3332 ) ) )","( ( ( ( x_2 >= -0.1055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1555 until[21,30] x_2 <= -0.0005 ) and ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) ) or ( ( ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0555 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )","( ( ( ( x_2 >= -0.0037 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0097 ) until[10,25] ( x_0 >= -0.0097 or x_2 >= -0.0097 ) ) ) until[1,19] not ( ( ( x_2 <= -0.0097 and x_2 <= -0.0097 ) and ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ) )","eventually[19,21] ( eventually[16,20] ( x_2 >= 0.1222 ) )","( x_2 >= -1.5612 until eventually[1,7] ( x_2 >= 0.2134 ) )"
99,"( ( ( x_2 <= 0.233 or x_2 <= 0.0332 ) or ( x_2 <= -0.0332 until[26,33] x_2 <= -0.333 ) ) until[23,32] ( ( x_2 <= -0.333 or x_2 <= -0.2232 ) or ( x_2 <= -0.1332 or x_2 <= -0.3332 ) ) )","( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) until[20,32] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.0005 ) or ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0505 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.0505 ) or ( x_0 <= -0.1505 until[22,30] x_2 <= -0.1509 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0097 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0397 ) until[10,25] ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) until[10,22] not ( ( ( x_2 >= -0.0397 and x_2 >= -0.0397 ) and ( x_0 >= -0.0997 and x_2 >= -0.0097 ) ) ) )","eventually[19,inf] ( x_2 <= -0.022 )","always[12,16] ( ( ( not ( not ( always[12,18] ( x_0 >= -2.5855 ) ) ) or always[4,9] ( eventually[0,6] ( x_1 >= -1.2086 ) ) ) until x_2 <= -0.0449 ) )"
100,not ( ( ( x_2 <= 0.533 or x_2 <= 0.533 ) or ( x_2 <= 0.533 or x_2 <= 0.533 ) ) ),( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ),not ( not ( not ( x_2 <= 0.5999 ) ) ),not ( x_2 <= 0.5223 ),not ( x_2 <= 0.5494 )
101,not ( ( ( x_2 >= -0.733 or x_2 >= -0.623 ) or ( x_2 >= -0.636 or x_2 >= -0.626 ) ) ),"( ( ( x_2 <= -0.7055 or x_2 <= -0.7005 ) or ( x_2 <= -0.7005 and x_2 <= -0.7005 ) ) until[1,10] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.5997 and x_2 <= -0.6997 ) ) and ( ( x_2 <= -0.6997 or x_2 <= -0.6997 ) and ( x_0 <= -0.699 and x_2 <= -0.5997 ) ) ),not ( x_2 >= -0.7229 ),not ( x_2 >= -0.7251 )
102,not ( ( ( x_2 >= 0.233 or x_2 >= -0.223 ) or ( x_2 >= 0.223 or x_2 >= -0.226 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) ),not ( ( ( x_2 >= 0.0391 or x_2 >= -0.1297 ) or ( x_2 >= 0.2999 or x_0 >= -0.1997 ) ) ),"( x_2 <= 0.0223 until[1,10] x_1 <= 1.0222 )","( x_2 <= 0.0782 until[10,15] x_1 <= 1.719 )"
103,not ( ( ( x_2 <= -0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.233 or x_2 <= -0.163 ) ) ),"not ( ( ( ( x_2 <= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1505 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.1505 ) ) ) )",not ( not ( not ( x_2 <= -0.1891 ) ) ),"always[1,13] ( x_2 >= -0.0222 )","always[4,16] ( x_2 >= -0.1315 )"
104,"always[25,33] ( eventually[2,inf] ( ( x_2 <= 0.133 until[2,inf] x_2 <= -0.1332 ) ) )","always[24,33] ( always[15,23] ( not ( not ( x_2 <= -0.1055 ) ) ) )","eventually[10,25] ( always[10,22] ( always[10,13] ( ( x_2 <= 0.2297 and x_2 <= -0.2991 ) ) ) )","always[19,inf] ( x_2 <= 0.1925 )","( always[7,inf] ( x_2 <= 0.1599 ) until[5,19] eventually[6,13] ( ( x_1 <= 0.0865 or x_2 <= 0.3245 ) ) )"
105,"( ( ( x_2 >= -0.333 or x_1 >= -0.333 ) and ( x_2 >= -0.363 or x_1 >= -0.363 ) ) until[1,23] ( ( x_2 >= -0.363 or x_1 >= -0.363 ) or ( x_1 >= -0.363 and x_1 >= -0.363 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_1 >= -0.0005 or x_2 >= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_1 >= -0.0005 or x_2 >= -0.0095 ) ) ) )","( ( ( x_2 >= -0.0663 or x_2 >= -0.0667 ) and ( x_2 >= -0.0667 or x_1 >= -0.0667 ) ) and ( ( x_1 >= -0.0967 and x_2 >= -0.0667 ) until[10,29] ( x_1 >= -0.096 or x_2 >= -0.096 ) ) )",( x_1 >= -0.6223 and x_2 >= -0.2523 ),( x_2 >= -0.2551 and x_1 >= -0.423 )
106,not ( ( ( x_2 >= 0.333 or x_2 >= 0.333 ) or ( x_2 >= -0.333 or x_2 >= 0.363 ) ) ),"( ( ( x_2 <= -0.1055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1525 until[1,20] x_2 <= -0.0005 ) ) )",not ( ( ( x_2 >= 0.5391 or x_2 >= 0.5397 ) or ( x_2 >= -0.5397 and x_2 >= 0.5397 ) ) ),"( x_2 <= 0.3223 until[1,10] x_2 <= 0.4223 )","( x_2 <= 0.4084 until[7,10] x_0 >= -2.3483 )"
107,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) and ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= 0.3393 or x_2 <= 0.5097 ) or ( x_2 <= 0.5097 or x_2 <= -0.5097 ) ) ),"eventually[12,16] ( x_2 >= 0.2223 )","always[13,20] ( x_2 >= 0.301 )"
108,"( ( ( x_2 >= -0.333 or x_2 >= -0.2332 ) and ( x_2 >= -0.333 or x_2 >= -0.3332 ) ) until[23,30] ( ( x_2 >= -0.3332 or x_2 >= -0.3332 ) or ( x_2 >= -0.0362 or x_2 >= -0.3362 ) ) )","( ( ( ( x_2 >= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) until[10,22] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) or ( ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[22,30] x_2 <= -0.1505 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )","( ( ( ( x_2 >= -0.0031 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0097 ) until[10,25] ( x_0 >= -0.0967 and x_2 >= -0.0097 ) ) ) until[1,19] not ( ( ( x_2 <= -0.0097 and x_2 <= -0.0097 ) and ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ) )","always[19,21] ( always[10,13] ( x_2 >= -0.1222 ) )","always[5,18] ( always[14,20] ( x_2 >= -0.1983 ) )"
109,not ( ( ( x_2 <= -0.733 or x_2 <= -0.833 ) and ( x_2 <= -0.836 or x_2 <= -0.866 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 <= -0.9055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 until[10,22] x_2 >= -0.0005 ) until[10,22] ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )",not ( ( ( x_2 <= -0.8693 or x_2 <= -0.9691 ) and ( x_2 <= -0.9697 and x_2 <= -0.9991 ) ) ),not ( x_2 <= -0.8623 ),not ( x_2 <= -0.814 )
110,( ( ( x_1 <= 0.533 or x_1 <= 0.633 ) and ( x_1 <= 0.633 or x_0 <= -0.633 ) ) or ( ( x_1 <= 0.633 and x_1 <= 0.6232 ) and ( x_1 <= 0.632 and x_1 <= -0.626 ) ) ),( ( x_1 <= 0.7155 or x_0 <= -0.0055 ) or ( x_1 <= 0.7055 or x_0 <= -0.0005 ) ),"( ( ( ( x_2 <= -0.0331 or x_2 <= -0.0367 ) or ( x_1 <= -0.0367 or x_1 <= -0.0367 ) ) or ( ( x_0 <= -0.6667 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_1 <= -0.0397 ) ) ) until[10,22] ( ( ( x_1 <= -0.0397 or x_2 <= -0.0397 ) or ( x_1 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) or ( x_0 <= -0.039 and x_2 >= -0.039 ) ) ) )","( x_1 <= 0.6299 until[19,21] x_2 <= -1.0229 )","( x_1 <= 0.7847 until[2,7] ( ( ( eventually ( x_1 <= 1.4856 ) until[12,19] x_0 >= 0.45 ) or ( x_2 <= 0.7908 or not ( x_2 <= 1.2654 ) ) ) or x_0 >= 0.0316 ) )"
111,"always[25,33] ( eventually[2,inf] ( not ( x_2 >= -0.3232 ) ) )","always[24,33] ( always[15,23] ( not ( not ( x_2 <= -0.5255 ) ) ) )","always[10,inf] ( always[10,22] ( always[10,13] ( not ( x_2 >= -0.5097 ) ) ) )","always[19,inf] ( x_2 <= -0.2025 )","( always ( eventually[11,21] ( eventually[11,13] ( x_2 <= -0.2833 ) ) ) until[14,20] ( x_0 >= 1.1818 or always ( always[9,21] ( x_2 <= -0.0246 ) ) ) )"
112,( x_0 >= -0.3332 or x_0 >= -0.433 ),( x_0 <= -0.4055 or x_0 <= -0.4055 ),( x_0 <= -0.0031 or x_0 >= 0.099 ),( x_0 <= -0.4299 or x_0 >= -0.4299 ),"( not ( x_0 >= -0.6485 ) or always[1,18] ( x_0 >= 0.1353 ) )"
113,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.1005 or x_2 >= -0.2225 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),"eventually[1,13] ( x_2 <= -0.1222 )","eventually[8,18] ( x_2 <= -0.1525 )"
114,"( ( ( x_2 >= 0.233 or x_0 >= -0.333 ) and ( x_0 >= -0.363 or x_0 >= -0.3632 ) ) until[1,20] ( ( x_2 >= 0.3332 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.1005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0505 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0667 or x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0397 ) or ( x_0 >= -0.0667 and x_0 >= -0.0667 ) ) ) until[1,19] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0697 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.099 and x_0 >= -0.0697 ) or ( x_0 >= -0.069 and x_0 >= -0.009 ) ) ) )","( x_2 >= -0.0299 until[16,20] x_0 <= 1.0222 )","( x_0 <= 1.0516 until[2,20] ( x_2 >= 0.0418 or ( ( x_0 >= -3.1255 and ( ( x_2 <= -1.1083 until[12,15] x_1 <= -0.5854 ) and x_0 >= 0.464 ) ) and always[14,inf] ( x_1 >= -1.0282 ) ) ) )"
115,not ( ( ( x_2 >= 0.533 or x_2 >= 0.533 ) or ( x_2 >= 0.533 or x_2 >= 0.533 ) ) ),not ( ( ( x_2 >= 0.5155 and x_2 >= -0.5055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.5999 ) ) ),not ( x_2 >= 0.5223 ),( x_2 <= 0.5124 or x_2 <= -1.2723 )
116,not ( ( ( x_2 <= -0.733 or x_2 <= -0.833 ) and ( x_2 <= -0.836 or x_2 <= -0.866 ) ) ),"( ( ( ( x_2 <= -0.5155 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 and x_2 <= -0.0005 ) until[10,22] ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) or ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) until[12,25] ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.0505 or x_2 <= -0.0505 ) until[12,22] ( x_0 <= -0.0555 or x_2 <= -0.0505 ) ) ) )","( ( ( x_2 >= -0.8631 or x_2 >= -0.9691 ) or ( x_2 >= -0.9697 or x_2 >= -0.9691 ) ) or ( ( x_2 >= -0.0997 or x_2 >= -0.0997 ) until[11,28] ( x_0 >= -0.0997 or x_2 >= -0.0997 ) ) )","eventually[1,13] ( x_2 >= -0.8299 )","eventually[6,16] ( x_2 >= -0.8284 )"
117,"( ( ( x_2 <= -0.233 or x_2 <= -0.233 ) and ( x_0 >= -0.363 or x_0 >= -0.363 ) ) until[1,22] ( ( x_2 <= -0.333 or x_0 >= -0.3632 ) or ( x_2 <= -0.363 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.2055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.036 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[1,19] ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.039 or x_0 <= -0.099 ) ) or ( ( x_0 <= -0.099 and x_0 <= -0.0997 ) and ( x_0 <= -0.099 and x_0 >= -0.099 ) ) ) )","( x_2 <= -0.3299 until[16,20] x_0 >= -0.4229 )","( always[14,inf] ( ( x_0 >= -0.3812 or eventually[1,4] ( ( x_1 <= -1.0544 or ( not ( x_1 <= 1.7907 ) and x_2 <= 1.0032 ) ) ) ) ) until[0,20] x_2 <= -0.1592 )"
118,not ( not ( not ( x_2 <= -0.373 ) ) ),not ( ( ( x_2 >= -0.5155 or x_2 >= -0.5055 ) or ( x_2 >= -0.5005 or x_2 >= -0.5005 ) ) ),not ( not ( not ( x_2 >= -0.5391 ) ) ),"eventually[1,13] ( x_2 <= -0.4222 )","( not ( not ( eventually[7,21] ( not ( not ( x_2 <= -0.455 ) ) ) ) ) and x_2 <= -0.2963 )"
119,"( ( ( x_0 <= 0.5332 or x_0 <= 0.532 ) and ( x_2 <= 0.2232 or x_0 <= 0.6632 ) ) until[15,23] ( ( x_2 <= 0.2232 or x_0 <= 0.6222 ) or ( x_2 <= 0.2622 or x_0 <= 0.6262 ) ) )","( ( ( ( x_2 <= 0.5155 or x_2 <= -0.0055 ) or ( x_2 <= 0.0055 or x_2 <= 0.0055 ) ) or ( ( x_2 <= 0.0055 or x_2 <= -0.0005 ) or ( x_0 <= 0.5555 or x_2 <= 0.0555 ) ) ) until[1,15] ( ( ( x_0 <= 0.5555 or x_2 <= -0.0005 ) or ( x_0 <= 0.1555 or x_2 <= 0.0555 ) ) or ( ( x_0 <= 0.1555 or x_2 <= 0.0555 ) or ( x_0 <= 0.1555 or x_2 <= 0.0555 ) ) ) )","( ( ( ( x_2 <= -0.1661 or x_2 <= -0.1667 ) or ( x_2 <= -0.1667 or x_0 <= 0.5667 ) ) or ( ( x_0 <= 0.5697 or x_0 <= 0.5697 ) or ( x_0 <= 0.5697 and x_0 <= 0.5697 ) ) ) until[1,19] ( ( ( x_0 <= 0.5697 or x_0 <= 0.5697 ) or ( x_0 <= 0.5697 and x_0 <= -0.5667 ) ) or ( ( x_0 <= 0.6697 and x_0 <= 0.5697 ) or ( x_0 <= 0.5696 and x_2 >= -0.066 ) ) ) )",( x_2 <= 0.6999 and x_0 <= 0.6995 ),( x_0 <= 0.6333 and x_2 <= 0.9236 )
120,not ( not ( not ( x_2 <= 0.323 ) ) ),not ( ( ( x_2 >= -0.1055 and x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.3391 ) ) ),not ( x_2 >= 0.2223 ),not ( x_2 >= 0.2708 )
121,"( ( ( x_2 >= -0.233 or x_0 >= -0.333 ) or ( x_0 >= -0.363 and x_0 >= -0.363 ) ) or ( ( x_2 >= -0.363 and x_0 >= -0.363 ) until[26,33] ( x_2 >= -0.3632 or x_0 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 until[21,32] x_0 <= -0.0055 ) ) ) or ( ( ( x_2 <= -0.0005 until[25,33] x_2 <= -0.0005 ) or ( x_0 <= -0.2005 until[22,30] x_0 <= -0.0555 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0505 ) or ( x_0 <= -0.2505 until[22,30] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.036 ) or ( x_0 >= -0.0097 or x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0367 or x_0 >= -0.0367 ) or ( x_0 >= -0.0667 and x_0 >= -0.0667 ) ) ) or ( ( ( x_0 >= -0.0967 or x_0 >= -0.0367 ) or ( x_0 >= -0.0667 and x_0 >= -0.0667 ) ) until[10,22] ( ( x_0 >= -0.096 or x_2 >= -0.009 ) or ( x_0 >= -0.096 and x_2 >= -0.009 ) ) ) )",( x_2 <= -0.2929 or x_0 <= -0.2925 ),"( ( not ( x_2 <= 0.1743 ) or ( x_1 >= 0.06 until[17,21] ( eventually[4,10] ( x_1 <= 0.5213 ) until[7,19] x_0 >= -0.4835 ) ) ) or x_0 <= -0.741 )"
122,( ( ( x_2 <= 0.533 or x_2 <= 0.533 ) and ( x_2 <= -0.533 or x_2 <= 0.533 ) ) or ( ( x_2 <= 0.633 and x_2 <= -0.633 ) and ( x_1 <= -0.633 or x_2 <= -0.636 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.0555 and x_2 <= -0.0555 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[1,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[12,25] x_2 <= -0.0555 ) ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= 0.5397 ) or ( x_2 <= -0.5397 or x_2 <= -0.5397 ) ) or ( ( x_0 <= -0.6397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ),( x_2 <= 0.6225 or x_1 <= -1.0223 ),( not ( x_1 >= -1.0871 ) or x_2 <= 0.5956 )
123,"( ( ( x_2 <= 0.233 or x_2 <= -0.363 ) and ( x_2 <= 0.363 or x_2 <= -0.363 ) ) until[1,28] ( ( x_2 <= 0.363 or x_0 >= -0.363 ) or ( x_1 >= -0.363 or x_2 >= -0.363 ) ) )","( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_2 <= -0.1505 or x_2 <= -0.0505 ) or ( x_2 <= -0.1555 or x_2 <= -0.1555 ) ) ) )","( ( ( ( x_2 <= -0.0367 or x_2 >= -0.0367 ) or ( x_2 <= -0.0367 or x_2 <= -0.0367 ) ) or ( ( x_2 <= -0.0367 or x_2 <= -0.0367 ) or ( x_2 <= -0.0367 and x_2 <= -0.0667 ) ) ) until[10,22] ( ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_2 <= -0.069 or x_2 <= -0.069 ) ) or ( ( x_0 <= -0.099 or x_2 <= -0.0697 ) or ( x_0 <= -0.069 and x_2 >= -0.069 ) ) ) )",( x_2 <= -0.6299 and x_2 <= 0.6299 ),"( ( not ( ( x_2 >= 0.371 or ( ( always[13,inf] ( ( x_2 >= -0.1731 or eventually[13,19] ( x_1 <= 2.1254 ) ) ) and ( ( x_1 <= 0.5062 until[4,inf] x_1 <= 1.5162 ) until[7,19] x_0 <= -0.1058 ) ) until[16,21] always[9,12] ( always ( x_0 >= 0.4439 ) ) ) ) ) until[8,12] x_2 >= -1.0933 ) and x_2 >= -1.4983 )"
124,( ( x_1 <= -0.533 or x_1 <= 0.433 ) and ( x_1 <= -0.433 or x_0 <= -0.563 ) ),( ( x_1 <= -0.5005 or x_1 <= 0.4055 ) or ( x_1 <= -0.0005 or x_0 <= -0.0005 ) ),( ( x_1 <= 0.5661 or x_1 <= 0.566 ) or ( x_1 <= -0.396 or x_0 <= -0.669 ) ),( x_1 <= -0.5299 or x_1 <= 0.6299 ),( x_1 <= -0.9265 or ( ( x_1 >= 0.2059 or x_1 <= -0.377 ) and x_0 <= 1.0336 ) )
125,( ( ( x_2 <= 0.533 or x_2 <= 0.333 ) or ( x_2 <= -0.333 and x_0 <= -0.363 ) ) and ( ( x_2 <= 0.533 or x_0 <= -0.532 ) or ( x_0 <= -0.533 or x_2 <= -0.363 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2555 until[2,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.0505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) ) )",( ( ( x_2 <= -0.0391 or x_2 <= 0.539 ) or ( x_0 <= -0.5397 or x_2 <= -0.039 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.039 or x_0 <= -0.0397 ) ) ),( x_2 <= 0.429 or x_0 <= -0.2295 ),"( ( x_2 >= -1.504 until[13,20] x_0 <= -0.6421 ) or x_2 <= 0.4798 )"
