,Formula
1709,"eventually[21,31] ( not ( not ( always[21,26] ( x_2 <= -0.9209 ) ) ) )"
1710,"eventually[32,inf] ( eventually[2,inf] ( eventually[31,34] ( ( x_1 <= -0.9857 until[10,25] x_2 >= 2.7176 ) ) ) )"
1711,"( ( always[19,inf] ( ( x_1 <= -0.8061 until[7,19] x_2 >= -1.368 ) ) or not ( ( x_0 <= -1.1406 and x_3 >= 1.4879 ) ) ) until[22,30] ( ( not ( x_1 <= -1.2123 ) and ( x_1 >= -0.0581 or x_3 >= 1.1817 ) ) and ( ( x_1 <= 0.9931 and x_1 >= 2.3375 ) and ( x_1 >= 0.2584 until[19,33] x_0 >= -0.5543 ) ) ) )"
1712,"eventually[19,28] ( ( ( ( x_0 >= -0.056 until[6,inf] x_1 >= -0.5279 ) and ( x_1 >= 0.599 until x_3 >= -0.3093 ) ) and always[14,25] ( not ( x_0 >= -0.6128 ) ) ) )"
1713,"( ( eventually[3,11] ( ( x_2 >= -0.3381 or x_3 >= -1.1583 ) ) until[30,32] ( ( x_2 >= -0.0995 or x_0 <= 1.4864 ) until ( x_3 >= 0.2276 or x_3 >= -0.1179 ) ) ) or ( always[28,30] ( always[26,31] ( x_2 <= -0.9247 ) ) until ( ( x_0 <= 1.2757 and x_0 <= -0.3268 ) and eventually[19,31] ( x_1 >= 0.675 ) ) ) )"
1714,"eventually[14,24] ( ( eventually[29,32] ( ( x_1 >= -0.2888 and x_3 >= -1.6247 ) ) until not ( eventually ( x_3 <= -1.2938 ) ) ) )"
1715,"( ( ( not ( x_1 >= -1.6542 ) and not ( x_3 <= 1.0204 ) ) and eventually[22,36] ( not ( x_2 >= -0.9687 ) ) ) until eventually[14,16] ( ( ( x_0 >= 2.5412 or x_1 >= -0.7928 ) or eventually ( x_0 <= -0.2415 ) ) ) )"
1716,"always[12,22] ( ( not ( eventually[17,24] ( x_1 <= 0.902 ) ) until[31,34] always[2,15] ( not ( x_1 >= 1.8022 ) ) ) )"
1717,"( ( ( always ( x_2 >= -0.902 ) until[27,36] not ( x_2 <= 0.7002 ) ) and not ( ( x_0 >= 1.1662 or x_3 <= 0.4095 ) ) ) until not ( ( eventually[19,22] ( x_0 <= 0.0941 ) and always[21,34] ( x_2 <= -0.6299 ) ) ) )"
1718,"( ( ( ( x_1 >= -0.6297 or x_2 <= -1.6308 ) or eventually[14,18] ( x_0 <= -1.4549 ) ) and not ( ( x_0 >= -0.1068 and x_2 <= -0.5511 ) ) ) or not ( ( always[8,36] ( x_3 <= 1.7898 ) or ( x_2 <= 0.1254 until[14,inf] x_2 >= -0.4624 ) ) ) )"
1719,"( ( ( eventually ( x_2 >= -0.981 ) or not ( x_0 >= 0.1866 ) ) and always[31,33] ( ( x_0 <= 2.6869 and x_0 <= -1.3629 ) ) ) and not ( ( not ( x_1 <= 1.457 ) and ( x_2 <= -1.3269 until x_1 <= 0.2752 ) ) ) )"
1720,"eventually[30,inf] ( ( not ( ( x_2 >= -0.2312 until[34,36] x_0 >= 0.5013 ) ) and ( not ( x_1 <= -0.5515 ) and not ( x_2 <= 0.0695 ) ) ) )"
1721,"not ( eventually[1,inf] ( eventually[0,24] ( ( x_2 <= -0.5577 or x_2 >= -0.3525 ) ) ) )"
1722,"( eventually[24,inf] ( ( ( x_3 >= 2.0746 until x_1 >= 1.8852 ) or not ( x_2 >= 0.2394 ) ) ) until[23,36] not ( ( eventually ( x_1 <= 0.7977 ) or ( x_3 >= -2.1479 and x_0 >= -0.6749 ) ) ) )"
1723,"( ( ( always[29,32] ( x_3 <= -1.8286 ) and eventually[14,18] ( x_3 <= 0.1428 ) ) until[22,26] ( not ( x_2 <= -0.4677 ) or ( x_1 >= 0.6985 or x_0 <= 3.4107 ) ) ) and ( always[21,25] ( always[9,12] ( x_0 <= -0.875 ) ) until[1,7] eventually[5,16] ( ( x_1 >= -0.7211 and x_3 <= -0.2338 ) ) ) )"
1724,"( always[0,inf] ( ( eventually[13,30] ( x_3 >= 1.3253 ) or ( x_3 >= -0.2131 or x_1 <= -0.0888 ) ) ) until[23,29] eventually[5,29] ( not ( ( x_1 >= -0.5801 or x_2 <= -0.6081 ) ) ) )"
1725,"( eventually[22,34] ( not ( eventually[7,20] ( x_2 >= 1.4438 ) ) ) until[20,33] not ( ( not ( x_0 <= -1.2872 ) or not ( x_3 <= 0.4512 ) ) ) )"
1726,"eventually[24,28] ( always[29,inf] ( eventually[24,36] ( not ( x_2 >= -1.5444 ) ) ) )"
1727,"always[34,36] ( not ( always[18,inf] ( always[33,inf] ( x_0 <= 0.115 ) ) ) )"
1728,"( ( ( always[11,36] ( x_0 <= 0.7543 ) or ( x_2 <= 0.4147 or x_3 >= -0.0661 ) ) and ( eventually[34,36] ( x_0 >= 0.3041 ) or ( x_0 <= 0.6816 or x_0 >= -0.0956 ) ) ) until[2,inf] ( ( ( x_3 <= 0.1134 or x_0 <= -0.0615 ) and ( x_0 <= 0.8922 and x_2 >= 0.2147 ) ) or ( not ( x_1 >= -1.0337 ) or eventually[11,21] ( x_3 <= -0.5847 ) ) ) )"
1729,"( not ( always[16,22] ( ( x_0 >= 0.2308 and x_1 >= -0.5063 ) ) ) and ( ( not ( x_2 >= -0.3886 ) or ( x_3 >= -0.7839 and x_1 <= -0.6296 ) ) or always[7,16] ( ( x_3 <= 0.8381 until[19,21] x_1 <= -0.0885 ) ) ) )"
1730,"( always[26,34] ( ( ( x_3 <= -0.067 or x_3 >= 0.9101 ) or not ( x_2 >= -1.9291 ) ) ) or ( not ( ( x_1 >= 1.208 and x_0 >= 0.2212 ) ) until[28,34] ( ( x_1 <= -1.215 and x_1 >= -1.1161 ) and ( x_1 <= -1.428 until x_1 >= -0.0941 ) ) ) )"
1731,"( ( not ( ( x_0 >= -0.8227 and x_0 <= 0.8216 ) ) or ( not ( x_2 <= -1.0674 ) or ( x_0 <= 0.2313 or x_0 <= 1.4622 ) ) ) until[31,inf] ( not ( ( x_2 <= 0.4299 or x_2 <= 0.3885 ) ) until[26,33] ( always[29,31] ( x_1 <= -1.5342 ) and ( x_3 >= -2.1697 until[21,34] x_2 <= 1.4559 ) ) ) )"
1732,"( always[28,inf] ( eventually[21,36] ( ( x_0 >= -0.5539 and x_2 >= 1.3784 ) ) ) and ( ( ( x_3 >= 0.8191 until[15,29] x_0 >= 0.586 ) or always[30,35] ( x_2 <= 0.011 ) ) and not ( eventually[30,inf] ( x_2 <= 1.7066 ) ) ) )"
1733,"( eventually[22,36] ( always ( always[8,36] ( x_2 <= 0.4868 ) ) ) or eventually[29,35] ( ( ( x_2 <= 1.5151 or x_3 >= 2.1886 ) or eventually[14,24] ( x_0 <= -0.8285 ) ) ) )"
1734,"not ( ( eventually ( ( x_2 >= -0.7545 until[12,24] x_0 <= -0.4563 ) ) until[18,20] ( ( x_2 <= -0.4182 until[24,30] x_3 >= 0.3006 ) or ( x_1 >= 1.0192 and x_0 >= 0.9329 ) ) ) )"
1735,"( eventually[26,inf] ( ( eventually ( x_0 >= -3.7802 ) or not ( x_0 >= 0.9535 ) ) ) and always[22,32] ( ( ( x_1 <= -1.4399 until[9,26] x_0 >= 1.3476 ) and eventually[5,33] ( x_2 >= 1.1873 ) ) ) )"
1736,"eventually[31,35] ( not ( ( ( x_1 <= 0.4295 and x_2 <= -0.3473 ) and ( x_3 <= 0.2937 or x_1 <= -0.9392 ) ) ) )"
1737,"always[4,13] ( ( ( ( x_2 <= -0.1332 until[21,35] x_1 <= 0.6318 ) and eventually[33,36] ( x_2 >= -0.643 ) ) and not ( ( x_3 <= 0.2916 or x_0 >= -0.1817 ) ) ) )"
1738,"always[10,inf] ( ( not ( ( x_1 <= 0.8311 or x_0 <= 0.6776 ) ) and not ( always ( x_0 <= -0.5812 ) ) ) )"
1739,"eventually[24,35] ( always[0,3] ( ( ( x_0 >= -0.2497 until[16,34] x_0 <= 1.8542 ) until[5,10] ( x_1 >= -0.3752 and x_1 >= 1.3707 ) ) ) )"
1740,"( ( ( eventually ( x_2 >= 2.3444 ) until[11,19] ( x_1 <= 1.3845 or x_3 >= 1.9245 ) ) and always[9,22] ( always[26,34] ( x_0 >= -0.4198 ) ) ) or always[28,36] ( ( ( x_2 <= -0.3452 or x_3 <= 0.2234 ) until[6,13] ( x_3 >= -0.3246 or x_1 <= -0.8988 ) ) ) )"
1741,"( ( not ( not ( x_3 >= 0.9767 ) ) or ( not ( x_2 >= 1.4471 ) until eventually ( x_1 <= -0.2166 ) ) ) or ( not ( eventually[34,36] ( x_1 >= -0.1758 ) ) and eventually[34,36] ( not ( x_0 <= -0.2795 ) ) ) )"
1742,"eventually[19,33] ( ( not ( always[5,10] ( x_1 >= 2.2185 ) ) and not ( ( x_0 >= -2.3505 or x_1 >= -3.0223 ) ) ) )"
1743,"not ( ( always[7,30] ( ( x_0 <= -0.6403 and x_0 <= 0.0069 ) ) until eventually[34,36] ( not ( x_2 >= 1.5485 ) ) ) )"
1744,"( ( ( not ( x_1 >= -0.4134 ) and ( x_2 >= -0.4562 until[22,24] x_2 <= -1.0076 ) ) and ( ( x_0 >= 0.8718 until[13,18] x_2 <= 0.6721 ) and ( x_0 <= -1.646 and x_0 >= -0.8306 ) ) ) or always[20,27] ( eventually ( not ( x_1 >= -0.4462 ) ) ) )"
1745,"( ( eventually[6,16] ( ( x_1 <= 1.2287 or x_3 >= -0.2774 ) ) and ( ( x_2 >= 0.6861 until x_2 >= -0.5572 ) and not ( x_3 <= 1.4655 ) ) ) and not ( always[30,34] ( eventually[4,22] ( x_3 >= 0.9506 ) ) ) )"
1746,"always[24,27] ( not ( ( not ( x_0 >= -1.1372 ) and ( x_1 <= -0.1674 and x_0 >= 1.526 ) ) ) )"
1747,"not ( eventually[19,21] ( always[14,17] ( ( x_0 >= 0.6094 and x_0 <= 1.6097 ) ) ) )"
1748,"eventually[31,inf] ( always[21,32] ( ( ( x_2 >= -0.7206 until[7,33] x_1 >= -1.8915 ) or ( x_3 <= 0.8993 or x_1 <= 0.5345 ) ) ) )"
1749,"( always[30,36] ( always[20,28] ( always ( x_2 <= 1.2366 ) ) ) or ( not ( eventually[30,34] ( x_3 >= -0.4371 ) ) and always[11,25] ( ( x_1 <= -0.1377 until[5,inf] x_3 <= 1.4173 ) ) ) )"
1750,"( eventually[7,34] ( eventually[9,31] ( ( x_1 >= 0.2303 or x_1 <= -0.5739 ) ) ) or ( not ( not ( x_2 <= 0.0853 ) ) until[23,26] ( ( x_2 <= 0.5975 or x_3 >= 0.8039 ) and eventually[3,inf] ( x_2 <= 0.9869 ) ) ) )"
1751,"not ( not ( not ( eventually[10,inf] ( x_0 <= 0.1995 ) ) ) )"
1752,"( ( not ( eventually[26,28] ( x_1 <= 3.4189 ) ) until[16,24] not ( ( x_2 >= 0.8202 until[6,25] x_0 <= -1.1305 ) ) ) or ( ( eventually ( x_1 >= -1.0716 ) and ( x_3 >= 0.0208 until x_1 <= 0.0127 ) ) or ( not ( x_1 >= -0.5814 ) or not ( x_1 >= -1.9322 ) ) ) )"
1753,"not ( not ( eventually[5,34] ( ( x_0 <= -0.2188 or x_2 >= -1.0218 ) ) ) )"
1754,"( ( not ( always[34,36] ( x_2 >= -0.8651 ) ) and not ( always[27,30] ( x_2 <= 0.4816 ) ) ) or ( always[12,26] ( eventually[6,15] ( x_0 <= -0.5549 ) ) and ( ( x_3 >= -0.0795 or x_1 <= -1.1207 ) until[22,35] eventually[26,29] ( x_1 <= -0.17 ) ) ) )"
1755,"always[25,31] ( always[20,inf] ( ( eventually[32,35] ( x_0 >= -0.3626 ) until[4,inf] not ( x_3 <= -0.7196 ) ) ) )"
1756,"eventually[6,31] ( ( ( ( x_2 <= 0.7614 until x_3 <= 0.4085 ) until[13,26] ( x_1 >= -1.4077 until[15,32] x_0 <= -0.1289 ) ) and ( always[2,inf] ( x_1 >= -0.0422 ) until[16,21] eventually[22,29] ( x_0 <= -0.4221 ) ) ) )"
1757,"( always[32,inf] ( ( eventually[18,24] ( x_1 >= -0.4044 ) until[8,23] eventually[4,23] ( x_1 <= 1.069 ) ) ) and ( not ( ( x_0 <= -1.4103 and x_1 >= -1.1412 ) ) and always[24,30] ( ( x_0 <= 0.7507 and x_1 <= 0.4493 ) ) ) )"
1758,"eventually[7,16] ( always[34,inf] ( always ( ( x_1 >= 1.0623 or x_3 >= -0.7577 ) ) ) )"
1759,"always[15,inf] ( not ( always[27,34] ( ( x_1 >= -1.4256 and x_3 <= 0.3771 ) ) ) )"
1760,"always[0,25] ( not ( not ( ( x_0 <= -0.0582 and x_3 >= 1.2023 ) ) ) )"
1761,"eventually[15,19] ( ( ( always[7,36] ( x_1 <= 1.2634 ) and not ( x_1 >= -0.0864 ) ) or eventually[18,28] ( ( x_3 <= -0.9708 and x_2 <= 0.4292 ) ) ) )"
1762,"( eventually[2,inf] ( always[26,31] ( ( x_3 <= -1.2788 or x_3 <= 1.1461 ) ) ) and ( ( not ( x_2 >= 0.225 ) or ( x_2 <= -0.0455 or x_2 <= -0.839 ) ) or ( ( x_2 <= -0.3691 until[24,32] x_1 >= 2.2258 ) or not ( x_2 >= -1.1677 ) ) ) )"
1763,"( ( ( not ( x_2 >= -0.7302 ) and always[28,inf] ( x_2 >= -0.8782 ) ) until[0,33] ( ( x_1 <= -0.5334 or x_3 <= 0.3981 ) and always[9,24] ( x_3 >= 0.3289 ) ) ) or ( eventually[24,inf] ( always[2,29] ( x_2 >= 0.1475 ) ) or ( ( x_3 <= 1.1852 until[33,36] x_0 >= -1.2768 ) or ( x_1 <= -1.8469 and x_1 <= -0.3044 ) ) ) )"
1764,"( ( ( always[32,35] ( x_2 <= -1.4533 ) and always ( x_1 >= -0.4065 ) ) and ( ( x_0 <= -1.889 until x_1 >= 1.7158 ) and ( x_0 <= -1.3866 until x_2 <= -1.415 ) ) ) until[20,31] not ( eventually ( not ( x_3 <= 0.8437 ) ) ) )"
1765,"( eventually[27,30] ( ( ( x_3 <= 0.3091 and x_2 <= -2.0458 ) or ( x_1 <= -0.6871 until[17,inf] x_0 >= -0.4338 ) ) ) until[9,inf] ( always[8,14] ( eventually[17,24] ( x_2 <= 1.1934 ) ) or ( always[31,36] ( x_2 >= 0.294 ) and ( x_2 <= -0.1325 or x_0 >= -0.3473 ) ) ) )"
1766,"( always[25,29] ( ( ( x_1 >= 0.8794 or x_1 <= 1.1129 ) until not ( x_1 >= 0.3051 ) ) ) until[1,inf] eventually[23,27] ( eventually[21,33] ( ( x_3 <= 1.8313 or x_2 <= -0.259 ) ) ) )"
1767,"always[17,inf] ( ( ( always[19,26] ( x_0 <= 1.689 ) or ( x_0 <= -0.1568 and x_0 >= 0.6916 ) ) until[5,13] eventually[13,inf] ( eventually[24,31] ( x_3 <= 0.8872 ) ) ) )"
1768,"( not ( ( not ( x_0 <= -0.1169 ) or eventually[12,17] ( x_0 >= 0.4552 ) ) ) until[28,34] eventually[22,28] ( not ( ( x_0 <= -0.2302 until[5,10] x_0 <= -1.524 ) ) ) )"
1769,"( always ( eventually[27,30] ( not ( x_3 >= -1.3958 ) ) ) until[19,36] not ( ( not ( x_0 >= 0.6213 ) or ( x_2 >= -0.3903 and x_3 <= -0.5902 ) ) ) )"
1770,"( always[19,27] ( ( ( x_2 >= 1.1834 and x_1 >= -1.6814 ) until ( x_0 <= 0.7916 until[11,32] x_0 <= 0.0161 ) ) ) or ( ( ( x_1 >= 0.1996 until[4,28] x_3 >= 1.1188 ) until[13,27] ( x_3 <= 0.1816 or x_3 <= 1.1883 ) ) or ( ( x_1 <= 0.693 until[8,14] x_1 >= -0.7784 ) or ( x_0 >= 1.0193 or x_3 >= -0.9529 ) ) ) )"
1771,"eventually[26,29] ( ( always[1,inf] ( eventually[2,7] ( x_0 <= -0.8261 ) ) or always[4,16] ( eventually[20,24] ( x_1 <= 0.4276 ) ) ) )"
1772,"always[1,19] ( always[7,inf] ( ( always[21,25] ( x_3 >= -0.6527 ) and eventually[21,30] ( x_1 <= -0.0672 ) ) ) )"
1773,"always[19,34] ( not ( ( ( x_2 <= 0.1179 or x_1 >= -1.3844 ) and always[13,24] ( x_0 >= -0.9757 ) ) ) )"
1774,"always[26,28] ( always[20,inf] ( ( ( x_3 >= 0.2728 or x_3 >= -2.0589 ) and always[0,12] ( x_3 <= -0.8023 ) ) ) )"
1775,"( ( eventually[27,31] ( not ( x_1 >= 0.2942 ) ) until[13,26] not ( not ( x_3 <= -2.4833 ) ) ) and ( ( ( x_0 >= -0.1095 until[8,25] x_0 >= -1.7228 ) and ( x_0 <= 0.819 or x_3 >= 0.7045 ) ) or not ( eventually[12,35] ( x_0 >= 0.6403 ) ) ) )"
1776,"( always[10,inf] ( always[17,31] ( ( x_0 >= 2.195 and x_2 >= 1.1184 ) ) ) or ( ( always[13,23] ( x_1 >= 1.6311 ) and not ( x_3 >= -0.2967 ) ) and always ( ( x_0 >= 0.4599 until[23,35] x_3 >= 1.6603 ) ) ) )"
1777,"eventually[5,20] ( not ( ( ( x_0 >= 0.5576 until[11,inf] x_1 <= -0.0861 ) and ( x_3 >= 0.4183 and x_0 >= -0.7889 ) ) ) )"
1778,"( ( not ( eventually[34,36] ( x_0 >= -0.9778 ) ) until[11,17] always[11,36] ( not ( x_0 >= -0.1138 ) ) ) or ( ( not ( x_0 <= 0.2487 ) until[16,inf] ( x_3 <= -0.1183 or x_0 >= -0.2035 ) ) or ( ( x_2 >= -1.0666 or x_1 <= 0.1616 ) or not ( x_1 >= -0.0963 ) ) ) )"
1779,"( ( ( ( x_3 >= 2.3421 and x_1 <= 1.8037 ) until[3,34] ( x_0 >= 2.1192 until x_0 >= 0.7538 ) ) or ( eventually[27,inf] ( x_3 <= -1.2841 ) until[20,inf] not ( x_0 <= 0.3341 ) ) ) or ( ( ( x_1 <= 0.6463 until[10,inf] x_0 <= 3.4068 ) or not ( x_2 <= -0.7159 ) ) until[12,31] always[10,26] ( not ( x_2 >= -1.2095 ) ) ) )"
1780,"not ( ( always[31,35] ( ( x_1 >= 0.4086 or x_1 <= -0.0256 ) ) until[24,32] always[0,35] ( not ( x_2 >= -0.6356 ) ) ) )"
1781,"( always[0,16] ( always[20,31] ( not ( x_3 <= 1.6167 ) ) ) or eventually[18,22] ( not ( eventually[32,35] ( x_1 >= 0.3561 ) ) ) )"
1782,"( ( ( always ( x_1 <= -1.2314 ) and not ( x_3 <= 0.5636 ) ) or eventually[12,26] ( always[6,inf] ( x_2 <= -0.53 ) ) ) and not ( eventually[11,inf] ( ( x_3 >= -0.7251 until[3,32] x_2 <= -0.3437 ) ) ) )"
1783,"always[20,23] ( ( eventually[10,29] ( always[25,28] ( x_0 <= -0.3952 ) ) or not ( ( x_2 >= -0.5776 and x_1 <= 0.1071 ) ) ) )"
1784,"eventually[26,inf] ( eventually[30,33] ( always[29,34] ( not ( x_3 >= 1.3494 ) ) ) )"
1785,"( not ( not ( always[18,29] ( x_3 >= -1.37 ) ) ) or not ( ( not ( x_0 >= 0.308 ) or ( x_3 <= 0.5175 until[27,30] x_0 >= -0.3815 ) ) ) )"
1786,"always ( ( ( always[7,10] ( x_3 >= -0.5532 ) or ( x_3 >= 0.2047 or x_0 <= -0.424 ) ) and always[4,12] ( ( x_1 >= 0.9783 and x_3 <= 0.8314 ) ) ) )"
1787,"always[21,inf] ( always[28,31] ( eventually[0,21] ( always[4,11] ( x_3 >= -0.0545 ) ) ) )"
1788,"always ( not ( always[25,31] ( not ( x_3 <= 0.9353 ) ) ) )"
1789,"( eventually[0,inf] ( ( eventually[0,inf] ( x_2 >= 0.1482 ) or always[7,inf] ( x_3 <= 1.4544 ) ) ) or ( ( not ( x_1 <= -0.6026 ) until[26,inf] always[10,20] ( x_1 >= -0.6882 ) ) and always ( ( x_0 >= 0.106 until[23,30] x_0 <= -0.8638 ) ) ) )"
1790,"( ( ( ( x_3 <= 1.7429 until[13,16] x_0 <= -1.4416 ) or ( x_2 >= -1.0807 until[28,34] x_2 <= 0.3421 ) ) and eventually[22,26] ( ( x_0 >= -1.6599 until[4,15] x_1 <= -1.3377 ) ) ) until[33,35] ( eventually ( ( x_1 >= 1.0272 until[9,23] x_0 >= 0.5722 ) ) and not ( ( x_1 <= -1.5947 until[11,27] x_3 >= 1.3329 ) ) ) )"
1791,"( eventually[20,inf] ( ( not ( x_1 >= -2.1777 ) or ( x_2 >= -0.2575 until[1,19] x_3 <= -0.7396 ) ) ) until[6,25] ( not ( ( x_0 <= 0.555 until[19,inf] x_2 >= -0.5287 ) ) or not ( not ( x_3 >= 0.6171 ) ) ) )"
1792,"eventually ( ( ( ( x_3 <= 1.0438 and x_0 <= 1.0884 ) and not ( x_0 <= -0.5525 ) ) and ( ( x_3 >= -2.155 or x_3 <= 0.5698 ) or ( x_1 >= -1.1409 until[15,20] x_2 <= -1.1061 ) ) ) )"
1793,"not ( always[26,34] ( not ( ( x_1 <= -0.9598 and x_0 >= 1.4112 ) ) ) )"
1794,"( ( ( ( x_3 >= -0.4194 or x_0 >= 1.7495 ) or ( x_0 <= 0.4975 or x_3 >= 0.3156 ) ) and ( always[1,35] ( x_0 >= -1.371 ) or ( x_3 >= -1.5512 and x_3 >= 0.1333 ) ) ) or eventually ( always[9,30] ( not ( x_1 <= -0.8629 ) ) ) )"
1795,"not ( ( not ( always[0,inf] ( x_2 >= -1.6014 ) ) or eventually[25,31] ( eventually[26,34] ( x_2 <= -0.5341 ) ) ) )"
1796,"eventually[23,inf] ( ( ( eventually[18,23] ( x_2 >= 1.2562 ) and eventually ( x_1 >= -2.559 ) ) until[6,inf] ( eventually[16,26] ( x_1 >= -0.4761 ) and not ( x_1 <= -1.2223 ) ) ) )"
1797,"always[3,7] ( always[4,16] ( ( ( x_3 <= 1.3055 or x_3 >= -1.2372 ) or ( x_1 <= 1.477 until[4,inf] x_1 >= 0.8013 ) ) ) )"
1798,"( ( not ( ( x_1 <= -0.8772 until[3,12] x_1 >= 0.8129 ) ) until ( ( x_0 >= 0.2589 and x_1 <= 0.4822 ) until[2,30] ( x_2 >= 1.0057 or x_2 >= 0.1075 ) ) ) and eventually[7,inf] ( not ( ( x_0 <= 1.0228 until x_2 <= 0.0524 ) ) ) )"
1799,"eventually ( eventually[5,29] ( not ( ( x_1 <= 0.6019 and x_1 >= 0.4192 ) ) ) )"
1800,"always[11,34] ( ( not ( ( x_3 >= 0.7453 or x_3 >= -0.8199 ) ) and eventually[14,34] ( always[9,inf] ( x_0 >= -1.839 ) ) ) )"
1801,"( always ( ( ( x_2 >= 1.6697 until[23,36] x_0 <= -0.9349 ) and ( x_2 >= 1.0644 or x_3 <= -0.9905 ) ) ) and ( ( ( x_0 >= 0.0353 and x_1 <= 1.3592 ) until ( x_0 >= -0.7734 and x_0 >= 0.6641 ) ) or ( ( x_1 <= -0.7148 or x_0 <= -0.2229 ) and ( x_1 >= -1.8541 until[34,36] x_0 <= -0.6981 ) ) ) )"
1802,"( not ( ( not ( x_1 >= 2.5339 ) or ( x_1 >= -0.2562 until[9,19] x_0 <= -0.2857 ) ) ) or eventually[7,13] ( eventually[2,19] ( ( x_0 <= 2.3545 and x_1 <= -1.433 ) ) ) )"
1803,"( eventually[6,25] ( ( ( x_0 >= -0.1907 and x_2 >= -0.041 ) and always[21,inf] ( x_3 <= 0.0992 ) ) ) and eventually[10,20] ( always[28,30] ( eventually[30,inf] ( x_3 <= -0.4552 ) ) ) )"
1804,"not ( ( always[9,25] ( always[13,31] ( x_1 <= 0.9001 ) ) until ( always[12,34] ( x_3 >= -0.0592 ) and ( x_0 >= 1.6191 until[28,31] x_0 >= 0.4425 ) ) ) )"
1805,"( always[17,36] ( not ( ( x_2 >= 0.4168 or x_1 >= -1.3602 ) ) ) until always[12,31] ( ( ( x_1 <= 1.365 or x_1 <= 0.485 ) or always[13,30] ( x_2 >= -0.6634 ) ) ) )"
1806,"( not ( eventually[2,inf] ( ( x_3 <= 1.2744 until[15,inf] x_2 <= 0.79 ) ) ) and ( ( eventually[9,24] ( x_0 >= 0.0477 ) until[33,36] not ( x_3 >= -0.3019 ) ) or ( ( x_3 >= 0.6797 and x_2 >= 0.4162 ) until[8,18] ( x_2 >= 1.2124 or x_1 <= 1.4877 ) ) ) )"
1807,"eventually ( ( ( ( x_3 >= -1.4906 until[5,31] x_2 <= -0.253 ) or ( x_3 <= -0.899 and x_1 >= -0.439 ) ) and ( ( x_0 <= 2.1279 until[19,32] x_2 >= 0.5146 ) or eventually[24,27] ( x_0 <= 1.4852 ) ) ) )"
1808,"( ( ( ( x_3 >= 0.1821 and x_0 >= 1.282 ) until[24,30] always[23,35] ( x_3 <= 0.3316 ) ) and always[15,18] ( ( x_2 >= -0.0915 until[24,34] x_2 >= -0.8601 ) ) ) or not ( eventually[3,23] ( not ( x_1 >= 0.8249 ) ) ) )"
1809,"( ( not ( ( x_2 >= 0.9634 and x_3 <= -0.1298 ) ) until[14,23] ( ( x_2 <= 1.2561 until[18,34] x_3 <= 0.9163 ) or ( x_2 >= 0.8928 or x_3 >= 1.4299 ) ) ) or eventually[16,18] ( ( not ( x_1 >= -0.5403 ) and eventually ( x_1 <= -0.162 ) ) ) )"
1810,not ( not ( ( ( x_1 >= -1.8748 and x_2 <= -0.7292 ) and ( x_0 >= 2.4549 or x_0 <= -1.2309 ) ) ) )
1811,"eventually[4,26] ( ( not ( ( x_1 >= -0.1251 until[20,29] x_1 >= -1.5113 ) ) and ( ( x_1 >= 0.1485 or x_3 <= 0.7154 ) until[7,12] always[20,33] ( x_3 >= -0.0252 ) ) ) )"
1812,"( not ( ( ( x_2 >= -0.2431 until[3,16] x_2 >= 0.3297 ) until[3,24] not ( x_0 >= -0.3813 ) ) ) until[5,14] ( always[17,27] ( not ( x_1 <= 1.2813 ) ) or not ( always[13,36] ( x_3 >= -0.2698 ) ) ) )"
1813,"not ( eventually[11,inf] ( always[15,35] ( ( x_2 <= 1.1579 and x_3 >= 0.7533 ) ) ) )"
1814,"eventually ( always[25,33] ( ( always[5,14] ( x_3 <= 0.2258 ) or not ( x_0 <= -0.7618 ) ) ) )"
1815,"not ( not ( eventually[34,36] ( eventually[1,11] ( x_1 <= 0.6999 ) ) ) )"
1816,"( eventually[22,35] ( eventually[10,35] ( not ( x_0 >= -0.4918 ) ) ) until not ( ( ( x_2 >= 0.0859 until[3,28] x_1 >= 0.3006 ) and eventually[9,21] ( x_0 <= -0.6983 ) ) ) )"
1817,"eventually ( not ( eventually[16,35] ( ( x_3 <= 0.7644 and x_0 >= -1.2558 ) ) ) )"
1818,"( not ( ( ( x_0 <= -0.2378 and x_0 >= 0.9394 ) or always[24,30] ( x_3 >= -0.4371 ) ) ) or ( always ( ( x_0 <= 0.3626 or x_1 <= 0.494 ) ) until[3,19] ( eventually[9,12] ( x_1 <= 0.132 ) or ( x_3 <= 1.5579 or x_0 <= 0.6773 ) ) ) )"
1819,"( ( ( ( x_0 >= 0.4543 and x_0 <= 1.0743 ) until[30,35] always[13,20] ( x_3 >= 0.9107 ) ) or ( always[10,15] ( x_1 >= -1.4359 ) or not ( x_0 <= 0.1605 ) ) ) and ( ( not ( x_1 <= 1.835 ) or not ( x_2 >= 0.9778 ) ) until[7,10] ( ( x_1 <= -0.1537 until[26,36] x_2 <= 1.2042 ) or not ( x_3 >= 0.9024 ) ) ) )"
1820,"( eventually[2,23] ( not ( not ( x_3 >= 1.2211 ) ) ) until[30,36] ( ( eventually[3,31] ( x_3 >= -0.7142 ) and ( x_0 >= -0.353 and x_0 <= -1.8715 ) ) and not ( ( x_3 <= 1.2988 until[20,36] x_2 <= 0.4563 ) ) ) )"
